#,Scenario ID,Title,Service Code,Domain,Schemas,Brief (the moment),KPI / Outcome,Featured?,Device(s)
33,rc-facing-count-optimization,Facing-count optimization,RC-E2E-03,Pricing & Revenue,,Per-SKU facing recommendations based on velocity and margin.,+4% category sales,Catalog,
34,rc-feedback-survey-analysis-automation,Feedback-survey-analysis automation,RC-E2E-04,Customer Experience,,Thematic clustering of verbatim survey responses.,−82% analyst time,Catalog,
35,rc-food-safety-temperature-log-automation,Food-safety temperature-log automation,RC-E2E-05,Operations & Workforce,,Continuous temp monitoring for regulatory compliance; exception-based HACCP logging.,100% audit trail,Catalog,
36,rc-gift-card-fraud-detection,Gift-card-fraud detection,RC-E2E-07,Risk · Fraud · Security,,Graph-based fraud detection on gift-card purchase and redemption.,+$2.8M/yr recovery,Catalog,
37,rc-grab-and-go-demand-forecasting,Grab-and-go demand forecasting,RC-E2E-09,Quality & Compliance,,Intraday demand forecasting for grab-and-go prepared food.,−28% food waste,Catalog,
38,rc-grocery-produce-waste-prediction,Grocery-produce waste prediction,RC-E2E-09,Quality & Compliance,,Shrink forecast per SKU per store with proactive markdown or donation playbooks.,−34% produce waste,Catalog,
39,rc-hiring-funnel-optimization,Hiring-funnel optimization,RC-E2E-08,Marketing & Growth,,Application-to-hire funnel-drop diagnosis.,+14% hire rate,Catalog,
40,rc-in-store-advertising-impact,In-store advertising impact,RC-E2E-04,Customer Experience,,In-store digital-signage and audio-ad attribution.,+9% trip-conversion,Catalog,Vision AI Dev Kit · in-store ad / screen engagement
41,rc-in-store-food-prep-scheduling,In-store food-prep scheduling,RC-E2E-09,Quality & Compliance,,Demand-aware prep scheduling reducing waste and stockouts.,−32% waste,Catalog,
42,rc-in-store-signage-compliance-scoring,In-store signage compliance scoring,RC-E2E-05,Operations & Workforce,,Computer-vision verification of promotional-signage placement vs plan-o-gram.,+18pp compliance,Catalog,Vision AI Dev Kit · signage placement verification
43,rc-inbound-freight-consolidation,Inbound-freight consolidation,RC-E2E-06,Operations & Workforce,,Supplier-order consolidation opportunity scoring.,−11% inbound cost,Catalog,
44,rc-influencer-campaign-analysis,Influencer-campaign analysis,RC-E2E-04,Customer Experience,,Influencer-ROI measurement with bot-detection adjustment.,+22% influencer efficiency,Catalog,
45,rc-lapsed-customer-reactivation,Lapsed-customer reactivation,RC-E2E-04,Customer Experience,,Segment-specific reactivation offers with churn-window targeting.,+17pp response,Catalog,
46,rc-last-mile-delivery-routing,Last-mile-delivery routing,RC-E2E-06,Operations & Workforce,,Dynamic same-day routing for home delivery and curbside.,+14% stops/route,Catalog,
47,rc-loyalty-churn-prediction-winback,Loyalty-churn prediction & winback,RC-E2E-04,Customer Experience,,Top-tier-member silent-churn detection with personalized winback.,−22% churn,⭐ Featured,
48,rc-loyalty-tier-migration-prediction,Loyalty-tier-migration prediction,RC-E2E-04,Customer Experience,,Forecasts customer movement up/down tiers to inform proactive nudges.,+9pp tier retention,Catalog,
49,rc-manufacturer-cost-variance-detection,Manufacturer-cost-variance detection,RC-E2E-03,Pricing & Revenue,,Vendor cost-increase pattern detection with negotiation evidence.,−$4.6M/yr cost avoidance,Catalog,
50,rc-manufacturer-demand-planning,Manufacturer-demand planning,RC-E2E-06,Operations & Workforce,,Consensus demand forecasting across retailer POS and manufacturer internal.,+11pp forecast accuracy,Catalog,
51,rc-manufacturing-yield-improvement-cpg,Manufacturing-yield improvement (CPG),RC-E2E-06,Operations & Workforce,,Line-yield improvement for CPG manufacturing.,+2.4pp yield,Catalog,
52,rc-market-cannibalization-analysis,Market-cannibalization analysis,RC-E2E-03,Pricing & Revenue,,Pre-build cannibalization modeling for new site evaluation.,+14% NPV capture,Catalog,
53,rc-media-mix-modeling,Media-mix modeling,RC-E2E-04,Customer Experience,,Cross-channel spend reallocation with saturation-curve modeling.,+18% ROAS,Catalog,
54,rc-mobile-app-conversion-optimization,Mobile-app conversion optimization,RC-E2E-04,Customer Experience,,Journey-friction detection and A/B-test recommendations.,+14% app conversion,Catalog,
55,rc-new-item-shelving-decisions,New-item shelving decisions,RC-E2E-03,Pricing & Revenue,,Shelf-assignment recommendation for new-item introductions.,+9% NPI velocity,Catalog,
56,rc-new-market-entry-assessment,New-market-entry assessment,RC-E2E-04,Customer Experience,,"Market-entry scoring across geography, channel, and segment dimensions.",+24% launch success,Catalog,
57,rc-new-product-introduction-forecast,New-product-introduction forecast,RC-E2E-03,Pricing & Revenue,,Forecast demand curve for NPI with analog-product matching.,+14% forecast accuracy,Catalog,
58,rc-on-shelf-availability-oos-reduction,On-shelf availability / OOS reduction,RC-E2E-05,Operations & Workforce,,"Shelf-level OOS detection fusing POS velocity, inventory, and computer vision.",−34% OOS,⭐ Featured,Vision AI Dev Kit · shelf-facing OOS detection
59,rc-overtime-cost-containment,Overtime-cost containment,RC-E2E-05,Operations & Workforce,,Predictive overtime alerting with schedule-adjustment suggestions.,−22% overtime,Catalog,
60,rc-pack-size-optimization,Pack-size optimization,RC-E2E-03,Pricing & Revenue,,Demand-cluster analysis for optimal pack-size offering.,+4% category revenue,Catalog,
61,rc-parking-lot-capacity-management,Parking-lot capacity management,RC-E2E-05,Operations & Workforce,,Live parking utilization for greeter staffing and security dispatch.,+8% peak conversion,Catalog,
62,rc-perishable-waste-reduction,Perishable waste reduction,RC-E2E-09,Quality & Compliance,,SKU-level markdown timing to minimize shrink while protecting margin.,−28% perishable loss,Catalog,
63,rc-personalized-offer-targeting,Personalized-offer targeting,RC-E2E-04,Customer Experience,,"1:1 offer selection balancing propensity, margin, and fatigue.",+24% redemption,Catalog,
64,rc-planogram-compliance-scoring,Planogram-compliance scoring,RC-E2E-03,Pricing & Revenue,,Store-level planogram-vs-actual with prioritized corrective action.,+8% category sales,Catalog,Vision AI Dev Kit · planogram vs actual capture
65,rc-pricing-decision-audit-trail,Pricing-decision audit trail,RC-E2E-03,Pricing & Revenue,,Full audit trail for regulatory and fair-pricing governance.,100% audit coverage,Catalog,
66,rc-private-label-penetration-analysis,Private-label-penetration analysis,RC-E2E-03,Pricing & Revenue,,Cross-category private-label substitution opportunity scoring.,+2.2pp GM,Catalog,
67,rc-product-complaint-triage,Product-complaint triage,RC-E2E-04,Customer Experience,,Consumer-complaint classification and prioritization.,−34% response time,Catalog,
68,rc-product-review-summary-generation,Product-review-summary generation,RC-E2E-04,Customer Experience,,LLM-powered review summarization with sentiment and feature-level breakdown.,+8% PDP conversion,Catalog,
69,rc-product-search-relevance,Product-search relevance,RC-E2E-04,Customer Experience,,Semantic search with personalization and inventory awareness.,+19% search conversion,Catalog,
70,rc-promotional-lift-measurement,Promotional-lift measurement,RC-E2E-03,Pricing & Revenue,,Halo and cannibalization-aware lift measurement for trade promotions.,+22% promo ROI,Catalog,
71,rc-regional-assortment-variance-analysis,Regional-assortment-variance analysis,RC-E2E-03,Pricing & Revenue,,Geo-demographic-based assortment tailoring vs national plan.,+4% cluster-store revenue,Catalog,
72,rc-remodel-roi-forecasting,Remodel-ROI forecasting,RC-E2E-03,Pricing & Revenue,,Remodel-specific lift prediction and capex prioritization.,+18% remodel ROI,Catalog,
73,rc-restroom-maintenance-dispatch,Restroom-maintenance dispatch,RC-E2E-05,Operations & Workforce,,Occupancy + feedback-driven cleaning dispatch instead of fixed schedule.,+14pt guest NPS,Catalog,
74,rc-retailer-scorecard-analysis,Retailer-scorecard analysis,RC-E2E-03,Pricing & Revenue,,Automated retailer-compliance and execution scorecard.,+9pp retailer score,Catalog,
75,rc-returns-fraud-detection,Returns-fraud detection,RC-E2E-07,Risk · Fraud · Security,,Graph-based serial-returner and wardrobing detection.,+$8.6M recovery,⭐ Featured,
76,rc-returns-to-vendor-processing,Returns-to-vendor processing,RC-E2E-07,Risk · Fraud · Security,,RTV disposition automation with dock-level advance recognition.,−$4M/yr RTV cost,Catalog,
77,rc-safety-stock-optimization,Safety-stock optimization,RC-E2E-06,Operations & Workforce,,Service-level-aware safety stock per SKU per node.,−$18M inventory,Catalog,
78,rc-safety-training-compliance-tracking,Safety-training compliance tracking,RC-E2E-08,Marketing & Growth,,Completion-tracking and targeted-refresher assignment.,+18pp compliance,Catalog,
79,rc-seasonal-transition-planning,Seasonal-transition planning,RC-E2E-03,Pricing & Revenue,,Sell-through-aware transition cadence with markdown/carry-over decisions.,−24% aged stock,Catalog,
80,rc-self-checkout-shrink-detection,Self-checkout shrink detection,RC-E2E-07,Risk · Fraud · Security,,Computer-vision validation of SKU-to-scan mismatch at SCO lanes.,−48% SCO shrink,Catalog,Vision AI Dev Kit · SCO scan / SKU mismatch detection
81,rc-share-of-wallet-estimation,Share-of-wallet estimation,RC-E2E-04,Customer Experience,,Category-level SOW from basket data and panel signals.,+11pp SOW growth,Catalog,
82,rc-shelf-price-label-compliance-audit,Shelf-price-label compliance audit,RC-E2E-03,Pricing & Revenue,,Computer-vision SPL audit vs pricing master; flags mis-priced SKUs in real time.,−92% SPL errors,Catalog,Vision AI Dev Kit · shelf price-label (SPL) audit
83,rc-shift-swap-automation,Shift-swap automation,RC-E2E-05,Operations & Workforce,,Marketplace-based shift-swap with compliance guardrails.,−37% manual approvals,Catalog,
84,rc-shrink-root-cause-analysis,Shrink root-cause analysis,RC-E2E-07,Risk · Fraud · Security,,Store-level shrink pattern detection beyond returns-fraud.,−14% total shrink,Catalog,
85,rc-site-personalization,Site-personalization,RC-E2E-04,Customer Experience,,Homepage and PLP personalization per customer segment.,+12% conversion,Catalog,
86,rc-site-selection-scoring,Site-selection scoring,RC-E2E-03,Pricing & Revenue,,Trade-area scoring with demographic and competitive overlay.,+22% new-store NPV,Catalog,
87,rc-size-fit-recommendation,Size/fit recommendation,RC-E2E-04,Customer Experience,,Return-history-aware size guidance reducing fit-related returns.,−22% fit returns,Catalog,
88,rc-slip-and-fall-incident-prediction,Slip-and-fall incident prediction,RC-E2E-05,Operations & Workforce,,"Pattern detection of high-risk moments (weather, spills, customer traffic).",−37% incidents,Catalog,Vision AI Dev Kit · floor hazard / spill detection
89,rc-space-to-sales-optimization,Space-to-sales optimization,RC-E2E-03,Pricing & Revenue,,Square-footage reallocation driven by sales-per-sqft analytics.,+6% total comp,Catalog,
90,rc-store-app-engagement-optimization,Store-app-engagement optimization,RC-E2E-04,Customer Experience,,"Push-notification timing, frequency, and content personalization.",+31% app MAU,Catalog,
91,rc-store-cleanliness-compliance-scoring,Store-cleanliness-compliance scoring,RC-E2E-05,Operations & Workforce,,Computer-vision scoring vs cleanliness standard with targeted dispatches.,+11pt guest NPS,Catalog,Vision AI Dev Kit · cleanliness standard scoring
92,rc-store-display-compliance-verification,Store-display-compliance verification,RC-E2E-05,Operations & Workforce,,"End-cap, feature, and planogram compliance via store-walk computer vision.",+18pp execution,Catalog,Vision AI Dev Kit · end-cap & display compliance capture
93,rc-store-energy-consumption-optimization,Store-energy-consumption optimization,RC-E2E-05,Operations & Workforce,,HVAC + refrigeration + lighting optimization driven by occupancy and weather.,−14% energy cost,Catalog,
94,rc-store-labor-scheduling-optimization,Store-labor scheduling optimization,RC-E2E-05,Operations & Workforce,,Demand-driven shift scheduling with associate-preference respect.,−9% labor cost,Catalog,Vision AI Dev Kit · zone traffic for demand signal
95,rc-store-opening-readiness-checklist,Store-opening-readiness checklist,RC-E2E-05,Operations & Workforce,,Automated readiness verification before doors open; escalates gaps.,+7% morning sales,Catalog,
96,rc-store-p-l-variance-analysis,Store-P&L variance analysis,RC-E2E-03,Pricing & Revenue,,Deviation flagging on store-level P&L with root-cause hypotheses.,+2.2pp store profit,Catalog,
97,rc-store-replenishment-frequency,Store-replenishment frequency,RC-E2E-06,Operations & Workforce,,Store-cluster replenishment cadence optimization.,−7% DC-to-store cost,Catalog,
98,rc-supplier-otif-monitoring,Supplier-OTIF monitoring,RC-E2E-06,Operations & Workforce,,Supplier on-time-in-full scoring with automated scorecards.,+11pp supplier OTIF,Catalog,
99,rc-trade-promotion-roi,Trade-promotion ROI,RC-E2E-03,Pricing & Revenue,,"CPG trade-promo lift, halo, cannibalization modeling.",+22% trade-promo ROI,Catalog,
100,rc-transportation-carrier-selection,Transportation-carrier selection,RC-E2E-06,Operations & Workforce,,Lane-level carrier performance and cost scoring.,−6% transport cost,Catalog,
101,rc-turnover-prediction,Turnover prediction,RC-E2E-08,Marketing & Growth,,Employee-churn prediction with retention-intervention playbooks.,−14pp turnover,Catalog,
102,rc-warehouse-slotting-optimization,Warehouse-slotting optimization,RC-E2E-06,Operations & Workforce,,Velocity-based slotting with pick-path minimization.,+18% pick rate,Catalog,
103,hls-accreditation-survey-readiness,Accreditation-survey readiness,HLS-E2E-02,Clinical Care,,Joint Commission and similar survey-readiness tracking.,+18pp readiness,Catalog,
104,hls-aco-quality-measure-closure,ACO quality-measure closure,HLS-E2E-06,Pricing & Revenue,,ACO-specific quality measure tracking and closure playbooks.,+18pp measure closure,Catalog,
105,hls-adverse-drug-event-ade-prediction,Adverse drug event (ADE) prediction,HLS-E2E-02,Clinical Care,,Predictive model flagging medication combinations and patient-context ADE risk.,−37% ADEs,Catalog,
106,hls-adverse-event-classification,Adverse-event classification,HLS-LS-03,Marketing & Growth,,Case-narrative classification and seriousness-coding automation.,−62% case-processing time,Catalog,
107,hls-anesthesia-case-prep-assistant,Anesthesia case-prep assistant,HLS-E2E-02,Clinical Care,,Pre-operative summary drafting from clinical record.,−18% case delays,Catalog,
108,hls-appeals-and-grievances-triage,Appeals-and-grievances triage,HLS-E2E-06,Pricing & Revenue,,Classification and prioritization of member appeals.,−42% cycle time,Catalog,
109,hls-authorization-decisioning-support,Authorization-decisioning support,HLS-E2E-04,Clinical Care,,Medical-necessity review drafting with clinical-evidence retrieval.,−44% review time,Catalog,
110,hls-bad-debt-prediction,Bad-debt prediction,HLS-E2E-06,Pricing & Revenue,,Patient bad-debt risk scoring with financial-counseling routing.,−14% bad debt,Catalog,
111,hls-benefit-plan-design-analytics,Benefit-plan-design analytics,HLS-E2E-06,Pricing & Revenue,,Benefit-configuration cost and utilization modeling.,+2.2% MLR improvement,Catalog,
112,hls-biomarker-discovery-ranking,Biomarker-discovery ranking,HLS-LS-03,Marketing & Growth,,Evidence-ranked biomarker candidates from literature and real-world data.,+22% candidate-hit rate,Catalog,
113,hls-biospecimen-tracking,Biospecimen tracking,HLS-LS-03,Marketing & Growth,,Biospecimen chain-of-custody and consent-scope tracking.,100% consent audit,Catalog,
114,hls-bundled-payment-analytics,Bundled-payment analytics,HLS-E2E-06,Pricing & Revenue,,Bundled-payment episode tracking and variance analytics.,+$2.8M episode savings,Catalog,
115,hls-care-manager-caseload-optimization,Care-manager caseload optimization,HLS-E2E-06,Pricing & Revenue,,Risk-weighted caseload balancing across care-management team.,+18% engagement,Catalog,
116,hls-charge-capture-gap-analysis,Charge-capture gap analysis,HLS-E2E-06,Pricing & Revenue,,Pattern-based charge-capture gap detection.,+$4.2M capture,Catalog,
117,hls-chatbot-symptom-checker,Chatbot symptom-checker,HLS-E2E-02,Clinical Care,,Patient-facing symptom-triage chatbot with escalation routing.,−22% unnecessary visits,Catalog,
118,hls-chronic-condition-risk-stratification,Chronic-condition risk stratification,HLS-E2E-06,Pricing & Revenue,,Multi-condition risk scoring with care-pathway recommendations.,−14% total cost of care,Catalog,
119,hls-claim-scrubbing-pre-submission,Claim-scrubbing pre-submission,HLS-E2E-06,Pricing & Revenue,,Pre-submission claim editing with payer-specific rules.,+19pp clean-claim rate,Catalog,
120,hls-claims-denial-prevention,Claims denial prevention,HLS-E2E-02,Clinical Care,,Pre-submission denial-risk scoring with remediation playbook.,−34% first-pass denial,⭐ Featured,
121,hls-claims-fraud-detection,Claims-fraud detection,HLS-E2E-06,Pricing & Revenue,,Provider- and member-level fraud pattern detection.,+$14M recovery,Catalog,
122,hls-clinical-decision-support-oncology,Clinical decision support — oncology,HLS-E2E-02,Clinical Care,,NCCN-guideline-and-trial-eligibility-aware treatment plan drafting.,+14pp adherence,⭐ Featured,
123,hls-clinical-documentation-improvement,Clinical-documentation improvement,HLS-E2E-02,Clinical Care,,Concurrent CDI suggestions reducing query volume and DRG leakage.,+$6.8M case-mix capture,Catalog,
124,hls-clinical-trial-patient-matching,Clinical-trial patient matching,HLS-LS-03,Marketing & Growth,,I/E-criteria matching at EMR scale for ranked enrollment lists.,+47% enrollment,⭐ Featured,
125,hls-coding-accuracy-review,Coding-accuracy review,HLS-E2E-06,Pricing & Revenue,,Automated coding review with DRG and HCC-accuracy checks.,+$8.4M case-mix accuracy,Catalog,
126,hls-community-resource-referral-matching,Community-resource referral matching,HLS-E2E-06,Pricing & Revenue,,SDOH needs-to-community-resource matching with closed-loop referral.,+22% referral completion,Catalog,
127,hls-competitive-intelligence-synthesis,Competitive-intelligence synthesis,HLS-LS-03,Marketing & Growth,,"Pipeline, publication, and conference intel synthesis.",−74% analyst time,Catalog,
128,hls-complaint-resolution-triage,Complaint-resolution triage,HLS-E2E-02,Clinical Care,,"Complaint classification, routing, and resolution-cycle tracking.",−34% cycle time,Catalog,
129,hls-contact-center-co-pilot-payer,Contact-center co-pilot (payer),HLS-E2E-06,Pricing & Revenue,,Real-time call agent co-pilot with benefit-and-policy retrieval.,−24% AHT,Catalog,
130,hls-contract-negotiation-analytics,Contract-negotiation analytics,HLS-E2E-06,Pricing & Revenue,,Payer-contract performance and renegotiation-opportunity modeling.,+3.2% reimbursement,Catalog,
131,hls-credentialing-expiration-tracking,Credentialing expiration tracking,HLS-E2E-02,Clinical Care,,License and credentialing expiration tracking with proactive outreach.,−92% expired credentials,Catalog,
132,hls-delirium-screening,Delirium screening,HLS-E2E-02,Clinical Care,,ICU-delirium risk scoring from nursing-flowsheet signals.,−22% delirium rate,Catalog,
133,hls-device-complaint-classification,Device-complaint classification,HLS-LS-03,Marketing & Growth,,Complaint narrative classification and malfunction categorization.,−58% classification time,Catalog,
134,hls-device-utilization-analytics,Device-utilization analytics,HLS-LS-03,Marketing & Growth,,Hospital-level device utilization and rep-intervention targeting.,+14% device utilization,Catalog,
135,hls-direct-contracting-performance,Direct-contracting performance,HLS-E2E-06,Pricing & Revenue,,Direct-contracting performance with intervention analytics.,+3.1% cost-of-care reduction,Catalog,
136,hls-discharge-education-comprehension,Discharge-education comprehension,HLS-E2E-02,Clinical Care,,Health-literacy-adjusted discharge instructions with comprehension check.,+24% comprehension,Catalog,
137,hls-discharge-readiness-prediction,Discharge-readiness prediction,HLS-E2E-02,Clinical Care,,Predicted discharge-window forecast supporting bed turnover planning.,−12% LOS,Catalog,
138,hls-drug-safety-signal-detection,Drug-safety signal detection,HLS-LS-03,Marketing & Growth,,Signal detection across safety databases with priority scoring.,+28% earlier detection,Catalog,
139,hls-ed-throughput-optimization,ED throughput optimization,HLS-E2E-02,Clinical Care,,Real-time ED flow-optimization with triage and disposition prediction.,−28% door-to-disposition,Catalog,
140,hls-equipment-utilization-clinical,Equipment-utilization (clinical),HLS-E2E-02,Clinical Care,,Clinical-equipment utilization and allocation optimization.,+18% utilization,Catalog,
141,hls-fall-risk-assessment,Fall-risk assessment,HLS-E2E-02,Clinical Care,,In-patient fall-risk scoring with intervention prompts.,−34% inpatient falls,Catalog,
142,hls-field-safety-notice-drafting,Field-safety-notice drafting,HLS-LS-03,Marketing & Growth,,FSN drafting with historical-analog retrieval.,−42% FSN cycle,Catalog,
143,hls-financial-counseling-targeting,Financial-counseling targeting,HLS-E2E-06,Pricing & Revenue,,Risk-based targeting for financial-counseling outreach.,+22% counseling conversion,Catalog,
144,hls-formulary-access-analysis,Formulary-access analysis,HLS-LS-03,Marketing & Growth,,Payer-formulary position tracking with access-gap identification.,+9pp access,Catalog,
145,hls-hand-hygiene-compliance-monitoring,Hand-hygiene compliance monitoring,HLS-E2E-02,Clinical Care,,Opportunity-denominator-accurate hand-hygiene scoring.,+24pp compliance,Catalog,
146,hls-hedis-care-gap-closure,HEDIS care-gap closure,HLS-E2E-06,Pricing & Revenue,,Multi-measure gap identification with closure outreach and tracking.,+24pp HEDIS closure,⭐ Featured,
147,hls-high-cost-claimant-identification,High-cost-claimant identification,HLS-E2E-06,Pricing & Revenue,,Early identification of emerging high-cost members.,−$6.2M PMPM trend,Catalog,
148,hls-hipaa-violation-risk-scoring,HIPAA violation risk scoring,HLS-E2E-02,Clinical Care,,PHI-access pattern analysis for risk detection.,−58% breach risk,Catalog,
149,hls-hub-services-orchestration,Hub-services orchestration,HLS-LS-03,Marketing & Growth,,Specialty-hub case workflow and adherence orchestration.,+18pp therapy persistence,Catalog,
150,hls-icu-risk-scoring,ICU risk scoring,HLS-E2E-02,Clinical Care,,Composite patient-deterioration risk with alerting thresholds.,−18% unplanned ICU admits,Catalog,
151,hls-infection-surveillance,Infection-surveillance,HLS-E2E-02,Clinical Care,,Early infection-cluster detection from admission and lab signals.,−28% HAI rate,Catalog,
152,hls-irb-submission-triage,IRB-submission triage,HLS-LS-03,Marketing & Growth,,IRB-submission triage with similar-protocol retrieval.,−44% review time,Catalog,
153,hls-key-opinion-leader-mapping,Key-opinion-leader mapping,HLS-LS-03,Marketing & Growth,,KOL identification and engagement scoring from publications and activity.,+22% engagement quality,Catalog,
154,hls-launch-readiness-scoring,Launch-readiness scoring,HLS-LS-03,Marketing & Growth,,Cross-functional launch-readiness scoring per geography.,+14% launch-KPI attainment,Catalog,
155,hls-length-of-stay-prediction,Length-of-stay prediction,HLS-E2E-02,Clinical Care,,Predicted LOS with clinical-barrier identification and discharge planning.,−9% avg LOS,Catalog,
156,hls-literature-review-automation,Literature-review automation,HLS-LS-03,Marketing & Growth,,Systematic-review drafting with citation extraction.,−62% review time,Catalog,
157,hls-market-access-scenario-modeling,Market-access scenario modeling,HLS-LS-03,Marketing & Growth,,"Scenario modeling for coverage, rebate, and contracting decisions.",+11% access capture,Catalog,
158,hls-medical-information-response,Medical-information response,HLS-LS-03,Marketing & Growth,,Med-info response drafting with regulatory-compliant source retrieval.,−52% response time,Catalog,
